form_slp1	lemma_slp1	gcase	number	gender	source
kim	kim	acc	sg	n	curated-gita-pronoun
etAm	etat	acc	sg	f	curated-gita-pronoun
tava	yuzmat	gen	sg		curated-gita-pronoun
sarve	sarva	nom	pl	m	curated-gita-pronoun
asmAkam	asmat	gen	pl		curated-gita-pronoun
ye	yat	nom	pl	m	curated-gita-pronoun
tAn	tat	acc	pl	m	curated-gita-pronoun
mama	asmat	gen	sg		curated-gita-pronoun
te	yuzmat	gen	sg		curated-gita-pronoun
anye	anya	nom	pl	m	curated-gita-pronoun
tat	tat	nom	sg	n	curated-gita-pronoun
idam	idam	nom	sg	n	curated-gita-pronoun
etezAm	etat	gen	pl	m	curated-gita-pronoun
sarvezu	sarva	loc	pl	n	curated-gita-pronoun
tasya	tat	gen	sg	m	curated-gita-pronoun
saH	tat	nom	sg	m	curated-gita-pronoun
uBayoH	uBA	gen	du	f	curated-gita-pronoun
me	asmat	gen	sg		curated-gita-pronoun
etAn	etat	acc	pl	m	curated-gita-pronoun
aham	asmat	nom	sg		curated-gita-pronoun
kEH	kim	instr	pl	m	curated-gita-pronoun
mayA	asmat	instr	sg		curated-gita-pronoun
asmin	idam	loc	sg	m	curated-gita-pronoun
ete	etat	nom	pl	m	curated-gita-pronoun
sarvezAm	sarva	gen	pl	m	curated-gita-pronoun
uBayoH	uBA	loc	du	f	curated-gita-pronoun
sarvAn	sarva	acc	pl	m	curated-gita-pronoun
idam	idam	acc	sg	n	curated-gita-pronoun
imAn	idam	acc	pl	m	curated-gita-pronoun
yezAm	yat	gen	pl	m	curated-gita-pronoun
naH	asmat	gen	pl		curated-gita-pronoun
te	tat	nom	pl	m	curated-gita-pronoun
ime	idam	nom	pl	m	curated-gita-pronoun
kA	kim	nom	sg	f	curated-gita-pronoun
asmAn	asmat	acc	pl		curated-gita-pronoun
vayam	asmat	nom	pl		curated-gita-pronoun
asmABiH	asmat	instr	pl		curated-gita-pronoun
asmAt	idam	abl	sg	n	curated-gita-pronoun
ezAm	etat	gen	pl	m	curated-gita-pronoun
etEH	etat	instr	pl	m	curated-gita-pronoun
mAm	asmat	acc	sg		curated-gita-pronoun
tam	tat	acc	sg	m	curated-gita-pronoun
tvA	yuzmat	acc	sg		curated-gita-pronoun
etat	etat	nom	sg	n	curated-gita-pronoun
tvayi	yuzmat	loc	sg	m	curated-gita-pronoun
etat	etat	acc	sg	n	curated-gita-pronoun
katarat	katarat	acc	sg	n	curated-gita-pronoun
naH	asmat	acc	pl		curated-gita-pronoun
yAn	yat	acc	pl	m	curated-gita-pronoun
tvA	yuzmat	acc	sg	m	curated-gita-pronoun
yat	yat	nom	sg	n	curated-gita-pronoun
tan	tat	acc	sg	m	curated-gita-pronoun
me	asmat	dat	sg		curated-gita-pronoun
tvAm	yuzmat	acc	sg		curated-gita-pronoun
yat	yat	nom	sg	m	curated-gita-pronoun
tvam	yuzmat	nom	sg		curated-gita-pronoun
yam	yat	acc	sg	m	curated-gita-pronoun
uBayoH	uBaya	gen	du	m	curated-gita-pronoun
anayoH	idam	gen	du	m	curated-gita-pronoun
yena	yat	instr	sg	n	curated-gita-pronoun
sarvam	sarva	nom	sg	n	curated-gita-pronoun
asya	idam	gen	sg	n	curated-gita-pronoun
kaScit	kimcit	nom	sg	m	curated-gita-pronoun
yaH	yat	nom	sg	m	curated-gita-pronoun
enam	etat	acc	sg	m	curated-gita-pronoun
uBO	uBa	nom	du	m	curated-gita-pronoun
tO	tat	nom	du	m	curated-gita-pronoun
ayam	idam	nom	sg	m	curated-gita-pronoun
kam	kim	acc	sg	m	curated-gita-pronoun
anyAni	anya	acc	pl	n	curated-gita-pronoun
kaScid	kimcit	nom	sg	m	curated-gita-pronoun
anyaH	anya	nom	sg	m	curated-gita-pronoun
sarvasya	sarva	gen	sg	m	curated-gita-pronoun
sarvARi	sarva	acc	pl	n	curated-gita-pronoun
anyat	anya	nom	sg	n	curated-gita-pronoun
imam	idam	acc	sg	m	curated-gita-pronoun
tava	yuzmat	gen	sg	m	curated-gita-pronoun
same	sama	acc	du	n	curated-gita-pronoun
ezA	etat	nom	sg	f	curated-gita-pronoun
te	yuzmat	dat	sg		curated-gita-pronoun
imAm	idam	acc	sg	f	curated-gita-pronoun
yayA	yat	instr	sg	f	curated-gita-pronoun
asya	idam	gen	sg	m	curated-gita-pronoun
ekA	ekA	nom	sg	f	curated-gita-pronoun
yAm	yat	acc	sg	f	curated-gita-pronoun
tayA	tat	instr	sg	f	curated-gita-pronoun
sarvezu	sarva	loc	pl	m	curated-gita-pronoun
samaH	sama	nom	sg	m	curated-gita-pronoun
uBe	uBa	acc	du	n	curated-gita-pronoun
tat tat	tat	acc	sg	n	curated-gita-pronoun
tAni	tat	acc	pl	n	curated-gita-pronoun
yasya	yat	gen	sg	m	curated-gita-pronoun
tezu	tat	loc	pl	m	curated-gita-pronoun
yat	yat	acc	sg	n	curated-gita-pronoun
yA	yat	nom	sg	f	curated-gita-pronoun
tasyAm	tat	loc	sg	f	curated-gita-pronoun
yasyAm	yat	loc	sg	f	curated-gita-pronoun
sA	tat	nom	sg	f	curated-gita-pronoun
enAm	etat	acc	sg	f	curated-gita-pronoun
asyAm	idam	loc	sg	f	curated-gita-pronoun
tat	tat	acc	sg	n	curated-gita-pronoun
ekam	eka	acc	sg	n	curated-gita-pronoun
sarvaH	sarva	nom	sg	m	curated-gita-pronoun
anena	idam	instr	sg	m	curated-gita-pronoun
ezaH	etad	nom	sg	m	curated-gita-pronoun
vaH	yuzmat	gen	pl		curated-gita-pronoun
vaH	yuzmat	acc	pl		curated-gita-pronoun
tEH	tat	instr	pl	m	curated-gita-pronoun
kaScana	kimcana	nom	sg	m	curated-gita-pronoun
yat yat	yat	acc	sg	n	curated-gita-pronoun
itaraH	itara	nom	sg	m	curated-gita-pronoun
kiMcana	kimcana	nom	sg	m	curated-gita-pronoun
imAH	idam	acc	pl	f	curated-gita-pronoun
mayi	asmat	loc	sg		curated-gita-pronoun
svasyAH	sva	gen	sg	f	curated-gita-pronoun
tayoH	tat	gen	du	m	curated-gita-pronoun
kena	kim	instr	sg	m	curated-gita-pronoun
tena	tat	instr	sg	m	curated-gita-pronoun
etena	etat	instr	sg	m	curated-gita-pronoun
ezaH	etat	nom	sg	m	curated-gita-pronoun
svAm	svA	acc	sg	f	curated-gita-pronoun
pUrvEH	pUrva	instr	pl	m	curated-gita-pronoun
kim	kim	nom	sg	n	curated-gita-pronoun
kiMcit	kiMcit	acc	sg	m	curated-gita-pronoun
tena	tat	instr	sg		curated-gita-pronoun
Ayam	idam	nom	sg	m	curated-gita-pronoun
sarvAn	sarva	acc	pl	n	curated-gita-pronoun
sarveByaH	sarva	gen	pl	n	curated-gita-pronoun
sarvam	sarva	acc	sg	n	curated-gita-pronoun
ayaM	idam	nom	sg	m	curated-gita-pronoun
etayoH	etat	gen	du	m	curated-gita-pronoun
uBayoH	uBa	gen	du	m	curated-gita-pronoun
kiMcit	kiMcit	acc	sg	n	curated-gita-pronoun
kasyacit	kimcit	gen	sg	m	curated-gita-pronoun
tezAm	tat	gen	pl	m	curated-gita-pronoun
yena	yat	instr	sg	m	curated-gita-pronoun
svam	sva	acc	sg	n	curated-gita-pronoun
yasmin	yat	loc	sg	m	curated-gita-pronoun
tvayA	yuzmat	instr	sg		curated-gita-pronoun
etasya	etat	gen	sg	m	curated-gita-pronoun
kAm	kim	acc	sg	f	curated-gita-pronoun
iyam	idam	nom	sg	f	curated-gita-pronoun
anyAm	anya	acc	sg	f	curated-gita-pronoun
sarvARi	sarva	nom	pl	n	curated-gita-pronoun
kiMcit	kiMcit	nom	sg	n	curated-gita-pronoun
eBiH	idam	instr	pl	m	curated-gita-pronoun
eByaH	idam	abl	pl	m	curated-gita-pronoun
tEH tEH	tat	instr	pl	m	curated-gita-pronoun
tam tam	tat	acc	sg	m	curated-gita-pronoun
svayA	sva	instr	sg	f	curated-gita-pronoun
yaH yaH	yat	nom	sg	m	curated-gita-pronoun
yAm yAm	yat	acc	sg	f	curated-gita-pronoun
tasya tasya	tat	gen	sg	m	curated-gita-pronoun
tAm	tat	acc	sg	f	curated-gita-pronoun
tasyAH	tat	gen	sg	f	curated-gita-pronoun
kaH	kim	nom	sg	m	curated-gita-pronoun
yam yam	yat	acc	sg	m	curated-gita-pronoun
sarvAH	sarva	nom	pl	f	curated-gita-pronoun
ete	etat	nom	du	f	curated-gita-pronoun
ekayA	ekA	instr	sg	f	curated-gita-pronoun
anyayA	anyA	instr	sg	f	curated-gita-pronoun
ete	etat	acc	du	f	curated-gita-pronoun
tAni	tat	nom	pl	n	curated-gita-pronoun
tezu	tat	loc	pl	n	curated-gita-pronoun
samaH	sama	nom	sg	n	curated-gita-pronoun
pUrve	pUrva	nom	pl	m	curated-gita-pronoun
imAH	idam	nom	pl	f	curated-gita-pronoun
sarvasya	sarva	gen	sg	n	curated-gita-pronoun
yABiH	yat	instr	pl	f	curated-gita-pronoun
kezu kezu	kim	loc	pl	m	curated-gita-pronoun
ekam	eka	nom	sg	n	curated-gita-pronoun
ahaM	asmat	nom	sg		curated-gita-pronoun
yad yad	yat	nom	sg	n	curated-gita-pronoun
anyat	anya	acc	sg	n	curated-gita-pronoun
anena	idam	instr	sg	n	curated-gita-pronoun
ekena	eka	instr	sg	n	curated-gita-pronoun
amI	adas	nom	pl	m	curated-gita-pronoun
kecit	kimcit	nom	pl	m	curated-gita-pronoun
asO	adas	nom	sg	m	curated-gita-pronoun
anyAn	anya	acc	pl	m	curated-gita-pronoun
sarva	sarva	voc	sg	m	curated-gita-pronoun
ekaH	eka	nom	sg	m	curated-gita-pronoun
tena	tat	instr	sg	n	curated-gita-pronoun
tvat	yuzmat	abl	sg		curated-gita-pronoun
anyena	anya	instr	sg	m	curated-gita-pronoun
ke	kim	nom	pl	m	curated-gita-pronoun
yasmAt	yat	abl	sg	m	curated-gita-pronoun
kenacit	kimcit	instr	sg	n	curated-gita-pronoun
uBO	uBa	acc	du	m	curated-gita-pronoun
anyeByaH	anya	abl	pl	m	curated-gita-pronoun
kiMcit	kimcit	nom	sg	n	curated-gita-pronoun
tasmin	tat	loc	sg	n	curated-gita-pronoun
yAH	yat	nom	pl	f	curated-gita-pronoun
tAsAm	tat	gen	pl	f	curated-gita-pronoun
etAni	etat	nom	pl	n	curated-gita-pronoun
anyam	anya	acc	sg	m	curated-gita-pronoun
kEH	kim	instr	pl	n	curated-gita-pronoun
sarvEH	sarva	instr	pl	n	curated-gita-pronoun
imO	idam	nom	du	m	curated-gita-pronoun
eke	eka	nom	pl	n	curated-gita-pronoun
etAni	etat	acc	pl	n	curated-gita-pronoun
ekam	eka	acc	sg	m	curated-gita-pronoun
ekasmin	eka	loc	sg	n	curated-gita-pronoun
sve sve	sva	loc	sg	n	curated-gita-pronoun
svena	sva	instr	sg	n	curated-gita-pronoun
etad	etad	acc	sg	n	curated-gita-pronoun
AvayoH	asmat	gen	du		curated-gita-pronoun
tenA	tat	instr	sg	m	curated-gita-pronoun
